result_id,team,result,notes
151620,BRA,draw,Brazil 1-1 Morocco
151620,MAR,draw,Brazil 1-1 Morocco
151621,MAR,win,Morocco 1-0 Scotland
151622,BRA,win,Brazil 3-0 Haiti
151626,TUR,loss,Australia 2-0 Turkiye
151628,TUR,loss,Paraguay 1-0 Turkiye
151631,GER,win,Germany 7-1 Curacao
151634,GER,win,Germany 2-1 Ivory Coast
151638,NED,draw,Netherlands 2-2 Japan
151640,NED,win,Netherlands 5-1 Sweden
151643,BEL,draw,Belgium 1-1 Egypt
151646,BEL,draw,Belgium 0-0 Iran
151649,ESP,draw,Spain 0-0 Cabo Verde
151651,ESP,win,Spain 4-0 Saudi Arabia
151650,URU,draw,Saudi Arabia 1-1 Uruguay
151652,URU,draw,Uruguay 2-2 Cabo Verde
151656,FRA,win,France 3-1 Senegal
151668,POR,draw,Portugal 1-1 DR Congo
151673,ENG,win,England 4-2 Croatia
